Training Configuration:
----------------------------------------
substrate_name      : commons_harvest__open
num_players         : 7
model_type          : basic_influence
feature_dim         : None
action_dim          : None
hidden_dim          : 256
num_episodes        : 5000
lr                  : 0.0003
gamma               : 0.99
eps_clip            : 0.2
k_epochs            : 4
influence_weight    : 0.1
curriculum_steps    : 1000000
device              : cuda
save_interval       : 500
log_interval        : 10
use_wandb           : True
wandb_project       : social-influence-structured
wandb_entity        : None
----------------------------------------
================================================================================
Starting training: basic_influence on commons_harvest__open
================================================================================
Creating environment: commons_harvest__open
Using fixed structured feature dimension: 20
This works with ANY MeltingPot substrate automatically!
Using action dimension 8 for substrate 'commons_harvest__open'
Creating basic_influence trainer...
Feature dim: 20, Action dim: 8
Starting training for 5000 episodes...
Observation type: <class 'dict'>
Observation keys: ['COLLECTIVE_REWARD', 'RGB', 'READY_TO_SHOOT', 'WORLD.RGB']
  COLLECTIVE_REWARD: shape (), dtype float64
  RGB: shape (88, 88, 3), dtype uint8
  READY_TO_SHOOT: shape (), dtype float64
  WORLD.RGB: shape (144, 192, 3), dtype uint8
Episode      0 | Avg Reward:    80.00 | Current:    80.00
Episode     10 | Avg Reward:   145.73 | Current:   173.00
Episode     20 | Avg Reward:   151.10 | Current:   190.00
Episode     30 | Avg Reward:   146.74 | Current:   169.00
Episode     40 | Avg Reward:   148.24 | Current:    69.00
Episode     50 | Avg Reward:   150.78 | Current:    88.00
Episode     60 | Avg Reward:   150.87 | Current:    83.00
Episode     70 | Avg Reward:   149.17 | Current:    67.00
Episode     80 | Avg Reward:   150.27 | Current:    66.00
Episode     90 | Avg Reward:   151.60 | Current:   162.00
Episode    100 | Avg Reward:   150.64 | Current:   150.00
Episode    110 | Avg Reward:   149.30 | Current:   176.00
Episode    120 | Avg Reward:   148.34 | Current:   179.00
Episode    130 | Avg Reward:   150.27 | Current:   171.00
Episode    140 | Avg Reward:   151.01 | Current:   206.00
Episode    150 | Avg Reward:   151.39 | Current:   174.00
Episode    160 | Avg Reward:   152.32 | Current:   154.00
Episode    170 | Avg Reward:   155.03 | Current:   200.00
Episode    180 | Avg Reward:   155.29 | Current:   106.00
Episode    190 | Avg Reward:   154.18 | Current:   184.00
Episode    200 | Avg Reward:   154.49 | Current:    83.00
Episode    210 | Avg Reward:   155.65 | Current:   140.00
Episode    220 | Avg Reward:   156.70 | Current:   101.00
Episode    230 | Avg Reward:   157.46 | Current:   113.00
Episode    240 | Avg Reward:   155.05 | Current:   186.00
Episode    250 | Avg Reward:   153.34 | Current:   170.00
Episode    260 | Avg Reward:   151.32 | Current:   154.00
Episode    270 | Avg Reward:   151.51 | Current:   174.00
Episode    280 | Avg Reward:   151.41 | Current:   175.00
Episode    290 | Avg Reward:   151.89 | Current:    68.00
Episode    300 | Avg Reward:   153.11 | Current:   170.00
Episode    310 | Avg Reward:   150.35 | Current:   117.00
Episode    320 | Avg Reward:   150.51 | Current:   150.00
Episode    330 | Avg Reward:   148.18 | Current:   190.00
Episode    340 | Avg Reward:   149.92 | Current:   110.00
